GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Total; Estimate; Population 1 year and over
HC01_MOE_VC01,Total; Margin of Error; Population 1 year and over
HC02_EST_VC01,Moved; within same county; Estimate; Population 1 year and over
HC02_MOE_VC01,Moved; within same county; Margin of Error; Population 1 year and over
HC03_EST_VC01,"Moved; from different county, same state; Estimate; Population 1 year and over"
HC03_MOE_VC01,"Moved; from different county, same state; Margin of Error; Population 1 year and over"
HC04_EST_VC01,Moved; from different state; Estimate; Population 1 year and over
HC04_MOE_VC01,Moved; from different state; Margin of Error; Population 1 year and over
HC05_EST_VC01,Moved; from abroad; Estimate; Population 1 year and over
HC05_MOE_VC01,Moved; from abroad; Margin of Error; Population 1 year and over
HC01_EST_VC03,Total; Estimate; Population 1 year and over - AGE - 1 to 4 years
HC01_MOE_VC03,Total; Margin of Error; Population 1 year and over - AGE - 1 to 4 years
HC02_EST_VC03,Moved; within same county; Estimate; Population 1 year and over - AGE - 1 to 4 years
HC02_MOE_VC03,Moved; within same county; Margin of Error; Population 1 year and over - AGE - 1 to 4 years
HC03_EST_VC03,"Moved; from different county, same state; Estimate; Population 1 year and over - AGE - 1 to 4 years"
HC03_MOE_VC03,"Moved; from different county, same state; Margin of Error; Population 1 year and over - AGE - 1 to 4 years"
HC04_EST_VC03,Moved; from different state; Estimate; Population 1 year and over - AGE - 1 to 4 years
HC04_MOE_VC03,Moved; from different state; Margin of Error; Population 1 year and over - AGE - 1 to 4 years
HC05_EST_VC03,Moved; from abroad; Estimate; Population 1 year and over - AGE - 1 to 4 years
HC05_MOE_VC03,Moved; from abroad; Margin of Error; Population 1 year and over - AGE - 1 to 4 years
HC01_EST_VC04,Total; Estimate; Population 1 year and over - AGE - 5 to 17 years
HC01_MOE_VC04,Total; Margin of Error; Population 1 year and over - AGE - 5 to 17 years
HC02_EST_VC04,Moved; within same county; Estimate; Population 1 year and over - AGE - 5 to 17 years
HC02_MOE_VC04,Moved; within same county; Margin of Error; Population 1 year and over - AGE - 5 to 17 years
HC03_EST_VC04,"Moved; from different county, same state; Estimate; Population 1 year and over - AGE - 5 to 17 years"
HC03_MOE_VC04,"Moved; from different county, same state; Margin of Error; Population 1 year and over - AGE - 5 to 17 years"
HC04_EST_VC04,Moved; from different state; Estimate; Population 1 year and over - AGE - 5 to 17 years
HC04_MOE_VC04,Moved; from different state; Margin of Error; Population 1 year and over - AGE - 5 to 17 years
HC05_EST_VC04,Moved; from abroad; Estimate; Population 1 year and over - AGE - 5 to 17 years
HC05_MOE_VC04,Moved; from abroad; Margin of Error; Population 1 year and over - AGE - 5 to 17 years
HC01_EST_VC05,Total; Estimate; Population 1 year and over - AGE - 18 to 24 years
HC01_MOE_VC05,Total; Margin of Error; Population 1 year and over - AGE - 18 to 24 years
HC02_EST_VC05,Moved; within same county; Estimate; Population 1 year and over - AGE - 18 to 24 years
HC02_MOE_VC05,Moved; within same county; Margin of Error; Population 1 year and over - AGE - 18 to 24 years
HC03_EST_VC05,"Moved; from different county, same state; Estimate; Population 1 year and over - AGE - 18 to 24 years"
HC03_MOE_VC05,"Moved; from different county, same state; Margin of Error; Population 1 year and over - AGE - 18 to 24 years"
HC04_EST_VC05,Moved; from different state; Estimate; Population 1 year and over - AGE - 18 to 24 years
HC04_MOE_VC05,Moved; from different state; Margin of Error; Population 1 year and over - AGE - 18 to 24 years
HC05_EST_VC05,Moved; from abroad; Estimate; Population 1 year and over - AGE - 18 to 24 years
HC05_MOE_VC05,Moved; from abroad; Margin of Error; Population 1 year and over - AGE - 18 to 24 years
HC01_EST_VC06,Total; Estimate; Population 1 year and over - AGE - 25 to 34 years
HC01_MOE_VC06,Total; Margin of Error; Population 1 year and over - AGE - 25 to 34 years
HC02_EST_VC06,Moved; within same county; Estimate; Population 1 year and over - AGE - 25 to 34 years
HC02_MOE_VC06,Moved; within same county; Margin of Error; Population 1 year and over - AGE - 25 to 34 years
HC03_EST_VC06,"Moved; from different county, same state; Estimate; Population 1 year and over - AGE - 25 to 34 years"
HC03_MOE_VC06,"Moved; from different county, same state; Margin of Error; Population 1 year and over - AGE - 25 to 34 years"
HC04_EST_VC06,Moved; from different state; Estimate; Population 1 year and over - AGE - 25 to 34 years
HC04_MOE_VC06,Moved; from different state; Margin of Error; Population 1 year and over - AGE - 25 to 34 years
HC05_EST_VC06,Moved; from abroad; Estimate; Population 1 year and over - AGE - 25 to 34 years
HC05_MOE_VC06,Moved; from abroad; Margin of Error; Population 1 year and over - AGE - 25 to 34 years
HC01_EST_VC07,Total; Estimate; Population 1 year and over - AGE - 35 to 44 years
HC01_MOE_VC07,Total; Margin of Error; Population 1 year and over - AGE - 35 to 44 years
HC02_EST_VC07,Moved; within same county; Estimate; Population 1 year and over - AGE - 35 to 44 years
HC02_MOE_VC07,Moved; within same county; Margin of Error; Population 1 year and over - AGE - 35 to 44 years
HC03_EST_VC07,"Moved; from different county, same state; Estimate; Population 1 year and over - AGE - 35 to 44 years"
HC03_MOE_VC07,"Moved; from different county, same state; Margin of Error; Population 1 year and over - AGE - 35 to 44 years"
HC04_EST_VC07,Moved; from different state; Estimate; Population 1 year and over - AGE - 35 to 44 years
HC04_MOE_VC07,Moved; from different state; Margin of Error; Population 1 year and over - AGE - 35 to 44 years
HC05_EST_VC07,Moved; from abroad; Estimate; Population 1 year and over - AGE - 35 to 44 years
